id,gene,protein_uniprot_id,modification_type,interval,function,effect,is_longevity_related,longevity_association,citations,article_url,created_at
19,LBD10,O64836,,,,,False,No direct evidence linking LBD10 to aging/longevity in this article.,"""[{\""title\"":\""Decipher the ancestry of the plant-specific LBD gene family\"",\""authors\"":[\""Kong Y\"",\""Xu P\"",\""Jing X\"",\""Chen L\"",\""Li L\"",\""Li X\""],\""year\"":2017,\""doi\"":\""10.1186/s12864-016-3264-3\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/,2025-10-22T21:39:02.295969+00:00
20,AS2,O04479,,,,,False,No direct evidence linking LBD/AS2 to organismal aging or lifespan in this article.,"""[{\""title\"":\""Decipher the ancestry of the plant-specific LBD gene family\"",\""authors\"":[\""Kong Y\"",\""Xu P\"",\""Jing X\"",\""Chen L\"",\""Li L\"",\""Li X\""],\""year\"":2017,\""doi\"":\""10.1186/s12864-016-3264-3\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC5310275/,2025-10-22T21:38:58.492093+00:00
21,infB,B4RMZ3,,,,,False,No aging context; translation initiation factor IF-2 in Synechocystis PCC6803.,"""[{\""title\"":\""Highly expressed and alien genes of the Synechocystis genome\"",\""authors\"":[\""Mr\u00e1zek J\"",\""Bhaya D\"",\""Grossman AR\"",\""Karlin S\""],\""year\"":2001,\""doi\"":\""10.1093/nar/29.7.1590\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/,2025-10-22T21:30:44.815076+00:00
22,rpoB,,,,,,False,No aging context; RNA polymerase beta subunit in Synechocystis PCC6803.,"""[{\""title\"":\""Highly expressed and alien genes of the Synechocystis genome\"",\""authors\"":[\""Mr\u00e1zek J\"",\""Bhaya D\"",\""Grossman AR\"",\""Karlin S\""],\""year\"":2001,\""doi\"":\""10.1093/nar/29.7.1590\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/,2025-10-22T21:30:36.673233+00:00
23,fus,P35637,,,,,False,No aging context; elongation factor G in Synechocystis PCC6803.,"""[{\""title\"":\""Highly expressed and alien genes of the Synechocystis genome\"",\""authors\"":[\""Mr\u00e1zek J\"",\""Bhaya D\"",\""Grossman AR\"",\""Karlin S\""],\""year\"":2001,\""doi\"":\""10.1093/nar/29.7.1590\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/,2025-10-22T21:30:30.880864+00:00
24,tufA,Q85FT7,,,,,False,No aging context; elongation factor Tu in Synechocystis PCC6803.,"""[{\""title\"":\""Highly expressed and alien genes of the Synechocystis genome\"",\""authors\"":[\""Mr\u00e1zek J\"",\""Bhaya D\"",\""Grossman AR\"",\""Karlin S\""],\""year\"":2001,\""doi\"":\""10.1093/nar/29.7.1590\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/,2025-10-22T21:30:21.575931+00:00
25,petB,P56773,,,,,False,No aging context; cytochrome b6 subunit in Synechocystis PCC6803.,"""[{\""title\"":\""Highly expressed and alien genes of the Synechocystis genome\"",\""authors\"":[\""Mr\u00e1zek J\"",\""Bhaya D\"",\""Grossman AR\"",\""Karlin S\""],\""year\"":2001,\""doi\"":\""10.1093/nar/29.7.1590\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/,2025-10-22T21:30:15.276519+00:00
26,rbcL,Q760R5,,,,,False,No aging context; Rubisco large subunit in Synechocystis PCC6803.,"""[{\""title\"":\""Highly expressed and alien genes of the Synechocystis genome\"",\""authors\"":[\""Mr\u00e1zek J\"",\""Bhaya D\"",\""Grossman AR\"",\""Karlin S\""],\""year\"":2001,\""doi\"":\""10.1093/nar/29.7.1590\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/,2025-10-22T21:30:06.638334+00:00
27,psbB,P0C363,,,,,False,No aging context; PSII CP47 protein in Synechocystis PCC6803.,"""[{\""title\"":\""Highly expressed and alien genes of the Synechocystis genome\"",\""authors\"":[\""Mr\u00e1zek J\"",\""Bhaya D\"",\""Grossman AR\"",\""Karlin S\""],\""year\"":2001,\""doi\"":\""10.1093/nar/29.7.1590\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/,2025-10-22T21:29:53.026996+00:00
28,psaB,Q6ENH5,,,,,False,No aging context; PSI P700 apoprotein A2 in Synechocystis PCC6803.,"""[{\""title\"":\""Highly expressed and alien genes of the Synechocystis genome\"",\""authors\"":[\""Mr\u00e1zek J\"",\""Bhaya D\"",\""Grossman AR\"",\""Karlin S\""],\""year\"":2001,\""doi\"":\""10.1093/nar/29.7.1590\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/,2025-10-22T21:29:47.825989+00:00
29,psaA,Q6ENH4,,,,,False,No aging context; PSI P700 apoprotein A1 in Synechocystis PCC6803.,"""[{\""title\"":\""Highly expressed and alien genes of the Synechocystis genome\"",\""authors\"":[\""Mr\u00e1zek J\"",\""Bhaya D\"",\""Grossman AR\"",\""Karlin S\""],\""year\"":2001,\""doi\"":\""10.1093/nar/29.7.1590\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/,2025-10-22T21:29:41.248735+00:00
30,groEL2,P9WPE7,,,,,False,No aging context; chaperonin GroEL2 in Synechocystis PCC6803.,"""[{\""title\"":\""Highly expressed and alien genes of the Synechocystis genome\"",\""authors\"":[\""Mr\u00e1zek J\"",\""Bhaya D\"",\""Grossman AR\"",\""Karlin S\""],\""year\"":2001,\""doi\"":\""10.1093/nar/29.7.1590\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/,2025-10-22T21:29:33.391433+00:00
31,groEL1,P9WPE9,,,,,False,No aging context; chaperonin GroEL1 in Synechocystis PCC6803.,"""[{\""title\"":\""Highly expressed and alien genes of the Synechocystis genome\"",\""authors\"":[\""Mr\u00e1zek J\"",\""Bhaya D\"",\""Grossman AR\"",\""Karlin S\""],\""year\"":2001,\""doi\"":\""10.1093/nar/29.7.1590\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC31270/,2025-10-22T21:29:27.157328+00:00
32,Sp185/333,,,,,,False,Immune-related gene family in Strongylocentrotus purpuratus; no direct association with aging/longevity reported in this article.,"""[{\""title\"":\""An Sp185/333 gene cluster from the purple sea urchin and putative microsatellite-mediated gene diversification\"",\""authors\"":[\""Miller CA\"",\""Buckley KM\"",\""Easley RL\"",\""Smith LC\""],\""year\"":2010,\""doi\"":\""10.1186/1471-2164-11-575\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC3091723/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC3091723/,2025-10-22T21:27:19.144025+00:00
33,TRPC2,Q9R244,,,,,False,"No direct link to aging/longevity discussed; channel essential for mouse vomeronasal organ transduction, pseudogenized in humans per article.","""[{\""title\"":\""Evolutionary dynamics of olfactory and other chemosensory receptor genes in vertebrates\"",\""authors\"":[\""Yoshihito Niimura\"",\""Masatoshi Nei\""],\""year\"":2006,\""doi\"":\""10.1007/s10038-006-0391-8\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC1850483/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC1850483/,2025-10-22T21:15:15.544299+00:00
34,TAS1R3,Q7RTX0,,,,,False,No direct link to aging/longevity discussed in this article; forms heterodimers with T1R1 (umami) or T1R2 (sweet).,"""[{\""title\"":\""Evolutionary dynamics of olfactory and other chemosensory receptor genes in vertebrates\"",\""authors\"":[\""Yoshihito Niimura\"",\""Masatoshi Nei\""],\""year\"":2006,\""doi\"":\""10.1007/s10038-006-0391-8\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC1850483/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC1850483/,2025-10-22T21:15:12.433391+00:00
35,TAS1R2,Q8TE23,,,,,False,No direct link to aging/longevity discussed in this article; receptor mediates sweet taste via T1R2/T1R3 heterodimer.,"""[{\""title\"":\""Evolutionary dynamics of olfactory and other chemosensory receptor genes in vertebrates\"",\""authors\"":[\""Yoshihito Niimura\"",\""Masatoshi Nei\""],\""year\"":2006,\""doi\"":\""10.1007/s10038-006-0391-8\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC1850483/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC1850483/,2025-10-22T21:15:05.262237+00:00
36,TAS1R1,Q7RTX1,,,,,False,No direct link to aging/longevity discussed in this article; receptor mediates umami taste via T1R1/T1R3 heterodimer.,"""[{\""title\"":\""Evolutionary dynamics of olfactory and other chemosensory receptor genes in vertebrates\"",\""authors\"":[\""Yoshihito Niimura\"",\""Masatoshi Nei\""],\""year\"":2006,\""doi\"":\""10.1007/s10038-006-0391-8\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC1850483/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC1850483/,2025-10-22T21:15:01.216037+00:00
37,H2-L,Q641G4,,,,,False,No direct aging or longevity association discussed in the article.,"""[{\""title\"":\""Structure of a gene encoding a murine thymus leukemia antigen, and organization of Tla genes in the BALB/c mouse\"",\""authors\"":[],\""year\"":1985,\""doi\"":\""10.1084/jem.162.2.528\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC2187753/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC2187753/,2025-10-22T21:04:33.336981+00:00
38,H2-D1,P01899,,,,,False,No direct aging or longevity association discussed in the article.,"""[{\""title\"":\""Structure of a gene encoding a murine thymus leukemia antigen, and organization of Tla genes in the BALB/c mouse\"",\""authors\"":[],\""year\"":1985,\""doi\"":\""10.1084/jem.162.2.528\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC2187753/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC2187753/,2025-10-22T21:04:28.384995+00:00
39,H2-K1,P01901,,,,,False,No direct aging or longevity association discussed in the article.,"""[{\""title\"":\""Structure of a gene encoding a murine thymus leukemia antigen, and organization of Tla genes in the BALB/c mouse\"",\""authors\"":[],\""year\"":1985,\""doi\"":\""10.1084/jem.162.2.528\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC2187753/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC2187753/,2025-10-22T21:04:22.860380+00:00
40,H2-T23,P06339,,,,,False,No direct aging or longevity association discussed in the article.,"""[{\""title\"":\""Structure of a gene encoding a murine thymus leukemia antigen, and organization of Tla genes in the BALB/c mouse\"",\""authors\"":[],\""year\"":1985,\""doi\"":\""10.1084/jem.162.2.528\"",\""url\"":\""https://pmc.ncbi.nlm.nih.gov/articles/PMC2187753/\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC2187753/,2025-10-22T21:04:18.124373+00:00
41,PHB2,Q99623,,,,,True,PHB family components implicated in aging-related processes and mitochondrial function; aging/senescence associations in various organisms.,"""[{\""raw\"": \""Su and Yuan, 2010 (PHB gene family analysis in Arabidopsis). PHB genes are related to aging and senescence in mammals, yeast and C. elegans [24,59-60].\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC3026370/,2025-10-22T20:33:42.062703+00:00
42,PHB1,P35232,,,,,True,"Involved in aging and senescence in mammalian, yeast, and C.elegans; potential role in aging-related pathways.","""[{\""raw\"": \""Su and Yuan, 2010 (PHB gene family analysis in Arabidopsis). PHB genes are related to aging and senescence in mammals, yeast and C. elegans [24,59-60].\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC3026370/,2025-10-22T20:33:37.035167+00:00
43,PHB3,O04331,,,,,True,PHB gene family implicated in aging and senescence in plants and animals; potential cross-kingdom conserved roles in mitochondrial function and lifespan regulation.,"""[{\""raw\"":\""Coates et al., Curr Biol. 1997\""},{\""raw\"":\""Choi et al., Plant J. 2005\""}]""",https://pmc.ncbi.nlm.nih.gov/articles/PMC3026370/,2025-10-22T20:28:48.129296+00:00
